"year"	"state"	"party"	"last_name"	"candidate"	"candidatevotes"	"totalvotes"	"percentage"	"Incumbent/
Challenger/Open"	"raised"	"spent"	"previous_percentage"	"Previous_RPVI"	"RPVI"	"total_raised"	"total_spent"	"share_of_spent"	"history_performance"
"389"	2002	"NE"	"democrat"	"MATULKA"	"Charlie A. Matulka"	70290	480217	0.14637132796215	NA	NA	NA	0.425941734898472	-0.148116530203056	-0.707257344075699	NA	NA	NA	-0.559140813872643
"390"	2002	"NH"	"democrat"	"SHAHEEN"	"Jeanne Shaheen"	207478	447135	0.464016460353137	"Challenger"	5837914	5806219	0.462222972189976	-0.0755540556200482	-0.0719670792937256	9476737	9352144	0.620843626873153	0.00358697632632266
"391"	2002	"NJ"	"democrat"	"LAUTENBERG"	"Frank R. Lautenberg"	1138193	2112604	0.538763062078837	"Challenger"	3096137	2929206	0.526849978463419	0.0536999569268373	0.0775261241576746	13719167	13536049	0.216400369118049	0.0238261672308373
"392"	2002	"NM"	"democrat"	"TRISTANI"	"Gloria Tristani"	168863	483056	0.349572306316452	"Challenger"	732895	836604	0.297842959945345	-0.404314080109311	-0.300855387367096	5376703	5498585	0.152148961960213	0.103458692742215
"393"	2002	"NC"	"democrat"	"BOWLES"	"Erskine B. Bowles"	1047983	2331181	0.449550249422932	"Open"	13335229	13306317	0.45918060001815	-0.0816387999636997	-0.100899501154136	27176175	27041537	0.492069552111627	-0.0192607011904363
"394"	2002	"OK"	"democrat"	"WALTERS"	"David Walters"	369789	1018424	0.363099259247622	"Challenger"	2086613	2072137	0.400762371635042	-0.198475256729916	-0.273801481504756	5718138	5536834	0.374245823515749	-0.0753262247748404
"395"	2002	"OR"	"democrat"	"BRADBURY"	"Bill Bradbury"	501898	1267221	0.39606193394838	"Challenger"	2127941	2104194	0.459017960197908	-0.0819640796041846	-0.20787613210324	11262120	10908021	0.192903368997914	-0.125912052499055
"396"	2002	"RI"	"democrat"	"REED"	"Jack Reed"	253774	323582	0.784264884944156	"Incumbent"	3764624	2640970	0.633080020089414	0.266160040178829	0.568529769888313	NA	NA	NA	0.302369729709484
"397"	2002	"SC"	"democrat"	"SANDERS"	"Alex Sanders"	487359	1102912	0.44188384930076	"Open"	4284468	4211812	0.440008060411753	-0.119983879176495	-0.11623230139848	12682242	10999862	0.382896803614445	0.00375157777801494
"398"	2002	"SD"	"democrat"	"JOHNSON"	"Tim Johnson"	167481	337501	0.496238529663616	"Incumbent"	7005717	6990442	0.513219327738862	0.0264386554777234	-0.00752294067276837	12519943	12979485	0.538576222400195	-0.0339615961504918
"399"	2002	"TN"	"democrat"	"CLEMENT"	"Bob Clement"	728232	1642432	0.443386392861318	"Open"	2838011	2832990	0.368218505574971	-0.263562988850058	-0.113227214277364	9094985	6604794	0.428929350408204	0.150335774572694
"400"	2002	"TX"	"democrat"	"KIRK"	"Ron Kirk"	1955758	4514012	0.433263801691267	"Open"	9517216	9426763	0.439403333296547	-0.121193333406906	-0.133472396617466	19315582	19196543	0.491065656977926	-0.0122790632105602
"401"	2002	"WV"	"democrat"	"IV"	"John D. Rockefeller IV"	275281	436183	0.63111354637847	NA	NA	NA	0.766479632782305	0.532959265564611	0.262227092756939	NA	NA	NA	-0.270732172807671
"402"	2002	"WY"	"democrat"	"CORCORAN"	"Joyce Jansa Corcoran"	49570	183280	0.270460497599302	"Challenger"	8488	8467	0.422135050242329	-0.155729899515343	-0.459079004801397	1370582	1031891	0.00820532401193537	-0.303349105286054
